groupId,speaker,line,hasChoices,choices,conditionType,conditionType,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName,,
,,,,,,,,,,,,
4-1,,"""시험 전날 밤, 공부에 집중이 안 돼서 도서관에 들렀다.”",,,,,,,,,,
4-1,,“열람실이 평소보다 훨씬 붐비는 걸 보니 \n다들 중간고사를 앞두고 열심히 준비 중인가 봐…”,,,,,,,,,,
4-1,,"""잠깐 앉아서 정리만 하려고 했는데, 시간이 훅 지나버렸다.”",,,,,,,,,,
4-1,,"“근데… 이 문제, 도저히 모르겠다. \n내가 잘못 이해한 건가? 필기가 잘못된 건가?”",,,,,,,,,,
4-1,,"“고개를 들어 주위를 둘러보니, 익숙한 뒷모습이 눈에 들어왔다.”",TRUE,“우진 선배에게 간다|04-1-1|10|정우진;이현 선배에게 간다|04-1-2|5|문이현;”,,,,,,,,
04-1-1,여주,"“저기, 혹시…”",,,,,,,,,,
04-1-1,정우진,[여주]? 공부하러 왔어?,,,,,,,backto4-1,,,
04-1-1,여주,그게… 모르는 게 있어서.,,,,,,,,,,
04-1-1,,선배가 내 패드를 가져갔다. 그리고 찬찬히 내가 쓴 필기를 읽기 시작했다. ,,,,,,,,,,
04-1-1,,약간 채점 받는 느낌이라 뻘쭘하다.,,,,,,,,,,
04-1-1,정우진,필기 잘했는데? 근데 이 부분은 좀 다르게 해석해야 해,,,,,,,,,,
04-1-1,,선배는 조곤조곤 필기하면서 설명을 해주더니 순식간에 정답을 도출했다. ,,,,,,,,,,
04-1-1,,교수님보다 쉽게 설명해 주는 거 같기도 하고… ,,,,,,,,,,
04-1-1,,이럴 때 보면 진짜 인공지능 같다.,,,,,,,,,,
04-1-1,여주,… 선배 너무 똑똑한 거 같아서 살짝 기 죽어.,,,,,,,,,,
04-1-1,정우진,그러진 말고. 모르는 거 또 있으면 물어봐.,,,,,,,,,,
04-1-1,여주,응 그럴게! 고마워.,,,,,,,,,,
04-1-1,,다시 자리에 앉아 페이지를 보니 내 글씨와 선배의 글씨가 섞여 있었다. ,,,,,,,,,,
04-1-1,,글씨도 선배 같네.,,,,,,,,,,
04-1-1,,이게 아니지!,,,,,,,,,,
04-1-1,,공부에 집중하자. 집중…!!,,,,,,,,,,
04-1-2,문이현,어 [여주] 친구 왜요?,,,,,,,backto4-1,,,
04-1-2,여주,혹시 이 문제 도와주실 수 있나요?,,,,,,,,,,
04-1-2,문이현,"“아, 이거 내가 작년에 했던 거네.”",,,,,,,,,,
04-1-2,문이현,잠시만요 내가 받아둔 족보가 있을 거야.,,,,,,,,,,
04-1-2,,이현 선배가 족보와 정리하신 필기본을 주셨다. 덕분에 살았다…,,,,,,,,,,
04-1-2,,정말 매번 도움받는 것 같네.,,,,,,,,,,
04-1-2,,다음엔 꼭 밥이라도 사드려야지!,,,,,,,,,,
04-1-2,여주,너무 감사해요. 제가 시험 끝나고 밥 사드릴게요.,,,,,,,,,,
04-1-2,문이현,아니에요. 공부 파이팅.,,,,,,,,,,
backto4-1,,"“선배에게 도움도 받고, 뭔가 이번 시험 예감이 좋다.”",,,,,,,4-2,,,
4-2,,오전 강의를 들으러 학교로 향했다.,,,,,,,,,,
4-2,,오늘은 별 부담 없이 리포트 제출만 하면 되는 날이어서 기분도 좋았다.,,,,,,,,,,
4-2,,,,,,,,,,,,
4-2,,"“가벼운 마음이었는데,”",,,,,,,,,,
4-2,,"“강의실로 들어가기 직전, \n교수님이 ‘리포트는 출력해서 제출하세요’라고 하셨던 게 떠올랐다.”",,,,,,,,,,
4-2,,어젯반에 새벽까지 리포트를 써놓고 출력하지 않고 그대로 잠들어버렸던 것이다…,,,,,,,,,,
4-2,,,,,,,,,,,,
4-2,,어떡해!!!,,,,,,,,,,
4-2,,중간 대체 리포트 프린트 해오는 거 까먹었어…,,,,,,,,,,
4-2,,프린터… 프린터 있는 데가 어디지?,TRUE,“도서관 쪽으로 간다|04-2-1|0|루카|False|0|printLK;1층 라운지 쪽으로 간다|04-2-2;”,,,,,,,,
04-2-1,,학교에 프린터가 어디에 있더라? 도서관 쪽이라면 있을 것 같긴 한데…,,,,,,,,,,
04-2-1,,에타에 검색해 봐야 하나?,,,,,,,,,,
04-2-1,,"“그때, 맞은편에서 걸어오는 익숙한 얼굴이 보인다.”",,,,,,,,,,
04-2-1,,먼저 말을 걸어보자!!,,,,,,,,,,
04-2-1,여주,루카!!,,,,,,,,,,
04-2-1,,루카라면 알지 않을까?,,,,,,,,,,
04-2-1,,루카가 언짢은 듯한 표정으로 인사를 해온다.,,,,,,,,,,
04-2-1,루카,"“안녕하세요,”",,,,,,,,,,
04-2-1,여주,안녕 못해…,,,,,,,,,,
04-2-1,루카,그러신가요.,,,,,,,,,,
04-2-1,여주,"“그래서 말인데, 혹시 이 근처에 프린터 어디 있는지 알아??”",,,,,,,,,,
04-2-1,루카,프린터라면 본관 1층이 제일 가까울걸요.,,,,,,,,,,
04-2-1,루카,같이 가드릴까요?,TRUE,“거절한다|4-2-1-1;수락한다|4-2-1-2|4|루카;”,,,,,,,,
4-2-1-1,,어차피 예의상 하는 말이겠지? /n굳이 프린트 하나 하겠다고 같이 가줄 필요도 없고,,,,,,,4-3,,,
4-2-1-1,여주,아냐 괜찮아 알려줘서 고마워. 마주쳐서 다행이다.,,,,,,,,,,
4-2-1-1,루카,그럼 좋은 하루 보내세요.,,,,,,,,,,
4-2-1-1,,꾸벅 인사하고 루카가 멀어진다. ,,,,,,,,,,
4-2-1-1,,루카가 알려준 대로 찾아가서 무사히 프린트를 마쳤다!,,,,,,,,,,
4-2-1-1,,리포트를 소중히 품에 안고 강의실로 향했다. ,,,,,,,,,,
4-2-1-2,여주,"응, 그럼 고맙지!!",,,,,,,,,,
4-2-1-2,,… 귀찮다는 얼굴이다. 거절할 거라고 생각했나? 왜?,,,,,,,,,,
4-2-1-2,여주,너 요즘 자꾸 나만 보면 그런 귀찮다는 표정 짓더라?,,,,,,,,,,
4-2-1-2,루카,그럴 리가요. 기분 탓이겠죠.,,,,,,,,,,
4-2-1-2,,처음에는 저 웃는 얼굴 보고 친절해 보인다고 생각했는데,,,,,,,,,,
4-2-1-2,,전혀 아니었다…,,,,,,,,,,
4-2-1-2,,"무슨 생각하는지도 모르겠고, 별로 진심으로 웃는 것으로 보이지도 않는다.",,,,,,,,,,
4-2-1-2,여주,"너 그러고 웃는 것보단, 차라리 인상 쓰는 게 나아.",,,,,,,,,,
4-2-1-2,루카,네?,,,,,,,,,,
4-2-1-2,여주,최소한 무슨 생각하는지는 알 것 같거든.,,,,,,,,,,
4-2-1-2,,루카가 드물게 조용했다.,,,,,,,,,,
4-2-1-2,,뭔가 머쓱하네…,,,,,,,,,,
4-2-1-2,,…,,,,,,,,,,
4-2-1-2,,한참의 침묵 뒤 루카가 입을 열었다.,,,,,,,,,,
4-2-1-2,루카,저한테 그렇게 관심이 많으신 줄은 몰랐네요.,TRUE,“알기 쉽다고 한다|4-2-1-2-1|-3|루카;관심 없다고 한다|4-2-1-2-2|8|루카;맞다고 한다|4-2-1-2-3|3|루카;”,,,,,,,,
4-2-1-2-1,여주,너 생각보다 알기 쉬워.,,,,,,,backto4-2-1-2,,,
4-2-1-2-1,루카,얼마나 잘 알고 계실지 궁금하네요.,,,,,,,,,,
