groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
7-5-a,,은성이에게서 문자가 왔다.,,,,,,,,CMD:SetFlag:es7Done:true
7-5-a,이은성,[여주야].,,,,,,,,
7-5-a,이은성,저번에 놀러 가자고 했잖아.,,,FlagTrue,esHO,,,,
7-5-a,이은성,우리 바다 갈래?,,,,,,,,
7-5-a,이은성,나 기차 여행 왕복권 당첨돼서.,,,,,,,,
7-5-a,이은성,물론 당일치기야.,,,,,,,,
7-5-a,이은성,"내일모렌데, 시간 돼?",,,,,,,,
7-5-a,,"마침, 알바도 없는 날이겠다!",,,,,,,,
7-5-a,,오랜만에 바다나 다녀와야지!,,,,,,,,
7-5-a,여주,당연히 되지!,,,,,,,,
7-5-a,이은성,그럼 1시에 기차역에서 만나자.,,,,,,,,
7-5-a,,···,,,,,,,,
7-5-a,,"그럼, 준비를 해 볼까?",,,,,,,,
7-5-a,,뭘 챙겨가지···,TRUE,"""대충 챙긴다|7-5-c1|0|이은성|false|0|rough;많이 챙긴다|7-5-c2|0|이은성|false|0|large""",,,,,,
7-5-c1,,어차피 당일치기인데 굳이 꼼꼼하게 챙길 필요는 없겠지?,,,,,,,7-5-b,
7-5-c1,,"대충 물이랑 보조배터리, 비상약···",,,,,,,,
7-5-c1,,간식은 가면서 살까?,,,,,,,,
7-5-c1,,대충 이 정도면 되겠지!,,,,,,,,
7-5-c1,,가방이 가벼워서 다니기는 괜찮겠다.,,,,,,,,
7-5-c2,,바다 갈 때 뭘 가져가야 했더라?,,,,,,,7-5-b,
7-5-c2,,일단 혹시 모르니까 젖었을 때 갈아입을 옷이랑···,,,,,,,,
7-5-c2,,수건도 하나 챙길까?,,,,,,,,
7-5-c2,,···,,,,,,,,
7-5-c2,,좀 많이 챙겼나?,,,,,,,,
7-5-c2,,가방이 뚱뚱한 것 같기도 하다.,,,,,,,,
7-5-b,,"짐도 다 싸놨겠다, 갈 곳 뭐 있나 한번 찾아볼까?",,,,,,,,
7-5-b,,···,,,,,,,,
7-5-b,,드디어 여행 가는 날이다!,,,,,,,,
7-5-b,,기차 타고 바다에 가는 건 오랜만이라 잠을 좀 설쳤다.,,,,,,,,
7-5-b,,현장 체험학습 가던 시절 생각나네···,,,,,,,,
7-5-b,,"그나저나, 좀 일찍 도착했나?",,,,,,,,
7-5-b,,"생각하는 순간, 멀리서 작은 가방을 멘 은성이가 다가왔다.",,,,,,,,
7-5-b,,나만 너무 많이 챙겼나···.,,,FlagTrue,large,,,,
7-5-b,이은성,[여주야]!,,,,,,,,
7-5-b,여주,"은성아, 안녕.",,,,,,,,
7-5-b,이은성,뭘 이렇게 많이 들고 왔어.,,,FlagTrue,large,,,,
7-5-b,이은성,가방 들어줄까?,,,FlagTrue,large,,,,
7-5-b,여주,오랜만에 여행이라 설레서 이것저것 많이 넣었나 봐.,,,FlagTrue,large,,,,
7-5-b,여주,"그다지 무겁진 않은데, 들어주면 나야 고맙지.",,,FlagTrue,large,,,,
7-5-b,,말이 끝나기 무섭게 은성이 내 가방을 가져갔다.,,,FlagTrue,large,,,,
7-5-b,여주,고마워.,,,FlagTrue,large,,,,
7-5-b,여주,기차 시간 언제야?,,,,,,,,
7-5-b,이은성,음··· 10분 뒤.,,,,,,,,
7-5-b,이은성,슬슬 플랫폼으로 갈까?,,,,,,,,
7-5-b,,···,,,,,,,,
7-5-b,,플랫폼에서 조금 기다리니 기차가 왔다.,,,,,,,,
7-5-b,이은성,"가다 보면 바다 보이니까, 네가 창가에 앉아.",,,,,,,,
7-5-b,여주,고마워.,,,,,,,,
7-5-b,,···,,,,,,,,
7-5-b,,자리에 앉아 출발을 기다리니 졸음이 쏟아졌다.,,,,,,,,
7-5-b,,음··· 원래 은성이한테 어디 갈지 정하자 하려 했는데···,,,,,,,,
