groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
Ep8,,내가 지금 어디냐면...,,,,,,,,
Ep8,,유기 동물 보호센터!,,,,,,,,
Ep8,,학과 단톡방에 유기 동물 보호센터에서 방학 기념 봉사할 학생을 모집한다는 글이 올라왔길래 한번 해보고 싶어서 신청했다.,,,,,,,,
Ep8,,유기견이랑 유기묘 건물이 나뉘어 있어서 원하는 곳으로 가면 된다.,TRUE,"""유기견|Dog;유기묘|Cat;시설정리|Organize1|5|루카|False;""",,,,,,
Dog,,강아지. 참 귀엽다!!!,,,,,,,,
Dog,,"강아지 중에서도 대형견과 소형견을 선택할 수 있다는데, 어디로 갈까?",TRUE,"""대형견|BigDog|5|이은성|False;소형견|SmallDog1|5|문이현|False""",,,,,,
BigDog,,"견사에 들어서자, 내 허리까지 올 것 같은 커다란 강아지들이 일제히 꼬리를 흔들며 우리를 바라봤다.",,,,,,,,
BigDog,,귀여워...,,,,,,,,
BigDog,이은성,와 진짜 귀엽다.,,,,,,,,
BigDog,,한 마리 더…,,,,,,,,
BigDog,,너도 봉사하러 왔어?  ,,,,,,,,
BigDog,여주,응! 원래도 하고 싶었거든.  ,,,,,,,,
BigDog,,우리가 떠들고 있자 센터 관계자가 다가와 빗자루와 밀대를 손에 쥐여주고 가셨다.  ,,,,,,,,
BigDog,,나는 빗자루를 들고 바닥을 쓸었고 은성이는 내가 쓴 바닥을 밀대로 닦았다.  ,,,,,,,,
BigDog,,...,,,,,,,,
BigDog,,뒤를 돌아보니 뭘 얼마나 열심히 닦은 건지 바닥이 깨끗해졌다.  ,,,,,,,,
BigDog,,감탄하고 있는데 커다란 흰 강아지가 내 손에 얼굴을 들이밀었다.  ,,,,,,,,
BigDog,,"따라오는 건 알고 있었는데, 이렇게 오면 쓰다듬을 수밖에…  ",,,,,,,,
BigDog,여주,"은성아, 얘 너 닮았다.  ",,,,,,,,
BigDog,이은성,엉?,,,,,,,,
BigDog,,뭔가 순진하게 생긴 게 똑같네…  ,,,,,,,,
BigDog,,빗자루질 반 쓰다듬질 반이었지만 빠르게 청소를 끝냈다.  ,,,,,,,,
BigDog,,다음 할 일은 물그릇과 밥그릇을 수거해서 설거지하기.  ,,,,,,,,
BigDog,,내가 하나 씻을 때 은성이는 서너 개씩 씻었다.  ,,,,,,,,
BigDog,여주,너 너무 대충 씻는 거 아니야?  ,,,,,,,,
BigDog,,들여다봤더니 그릇에서 빛이 나고 있다.  ,,,,,,,,
BigDog,여주,아니네…  ,,,,,,,,
BigDog,,은성이는 벌써 자기 할당량을 다 끝내고  ,,,,,,,,
BigDog,,내 쪽에 쌓아둔 그릇마저 가져가 깨끗이 씻었다.  ,,,,,,,,
BigDog,,빠르다.  ,,,,,,,,
BigDog,,물과 사료를 다 주고 나서 강아지와 산책할 수 있는 시간이 됐다.  ,,,,,,,,
BigDog,,아까 청소할 때 왔던 흰 강아지!  ,,,,,,,,
BigDog,,왠지 나랑 걸음을 맞춰주면서 걷고 있다.  ,,,,,,,,
BigDog,,강아지가 젠틀하네.  ,,,,,,,,
BigDog,,은성이는… 엄청 빠르고 큰 강아지에게 거의 끌려가듯 산책 중이다.  ,,,,,,,,
BigDog,,산책이 아니라 러닝인가?  ,,,,,,,,
BigDog,,"10분 정도 걷자, 강아지가 걷기 싫다는 듯 드러누웠다.  ",,,,,,,,
BigDog,,강아지는 산책 좋아하는 거 아닌가?  ,,,,,,,,
BigDog,,돌아가던 길에 보니 아까 지나간 은성이와 강아지가 견사로 뛰어 들어가고 있었다.,,,,,,,,
BigDog,,와 진짜 힘들겠다…  ,,,,,,,,
BigDog,,나는 지쳐 보이는 은성이에게 물을 건넸다.  ,,,,,,,,
BigDog,여주,이거 마셔.  ,,,,,,,,
BigDog,이은성,고마워!  ,,,,,,,,
BigDog,,"잠시 앉아 있는데, 흰 강아지가 슬쩍 다가와서 나와 은성이 사이에 앉았다.  ",,,,,,,,
BigDog,이은성,얘 너 되게 맘에 들었나 보다.  ,,,,,,,,
BigDog,여주,그러게.  ,,,,,,,,
BigDog,,은성이 열심히 강아지를 쓰다듬는다.,,,,,,,,
BigDog,은성,나랑 똑같은 것 같기도…,,,,,,,,
SmallDog1,,"소형견 견사에 들어가자, 이현 선배가 보였다.",,,,,,,,
SmallDog1,문이현,어? [여주이] 안녕!,,,,,,,,
SmallDog1,여주,"선배, 안녕하세요.",,,,,,,,
SmallDog1,,작고 귀여운 강아지들 사이에서 이현 선배가 땀을 뻘뻘 흘리며 청소하고 있었다.,,,,,,,,
