groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
Ep10,,방학이 끝나간다.,,,,,,,,
Ep10,,새로운 학기를 앞둔 지금.,,,,,,,,
Ep10,,"""괜히 설레기도 하고, 왠지 누군가에게 연락이 올 것만 같다.""",,,,,,,,
Ep10,,"""그때, 휴대폰 알림이 울렸다.""",,,,,,,,
Ep10,,누구한테 연락이 왔을까?,TRUE,"정우진|WJ_end||||||AffectionGreater|90;문이현|YH_end||||||AffectionGreater|90;루카|LK_end||||||AffectionGreater|90;강세하|SH_end||||||AffectionGreater|90;이은성|ES_end||||||AffectionGreater|90;강주은|JE_end||||||AllCharacterAffectionLess|정우진,문이현,루카,강세하,이은성""|90""",,,,,,
,,,,,,,,,,
WJ_end,,우진 선배한테서 문자가 왔다.,,,,,,,,
WJ_end,정우진,여주야 안 바빠?,,,,,,,,
WJ_end,,바쁘진 않다.,,,,,,,,
WJ_end,,딱히 할 일도 없고.,,,,,,,,
WJ_end,,그런데도 그냥 튕기고 싶었다. 여자의 마음은 갈대 같은 법.,,,,,,,,
WJ_end,여주,바빠여,,,,,,,,
WJ_end,정우진,그럼 나랑 일하러 가자,,,,,,,,
WJ_end,,응? 갑자기?,,,,,,,,
WJ_end,,나랑?,,,,,,,,
WJ_end,,,,,,,,,,Fadeout
WJ_end,,정신을 차리고 보니 학교 도서관이었다.,,,,,,,,
WJ_end,,"짐은 언제 싸서 들고 나왔는지도 모르겠고, 내 앞에는 우진 선배가 노트북을 두드리고 있다.",,,,,,,,
WJ_end,,나는 마치 강제로 호출당한 조수처럼 옆자리에서 패드만 쳐다봤다.,,,,,,,,
WJ_end,,띠링.,,,,,,,,
WJ_end,정우진,집중해,,,,,,,,
WJ_end,,…나 지금 뭐에 집중해야 하는 거지?,,,,,,,,
WJ_end,,,,,,,,,,Fadeout
WJ_end,,도서관에서 나와 밥을 먹으러 갔다.,,,,,,,,
WJ_end,,그냥 학교 근처 학생들이 자주 가는 프랜차이즈 밥집으로.,,,,,,,,
WJ_end,정우진,매운 거 잘 먹어?,,,,,,,,
WJ_end,여주,적당히 먹지. 아 치즈 추가할까.,,,,,,,,
WJ_end,정우진,좋다. 그럼 이거랑…,,,,,,,,
WJ_end,,,,,,,,,,Fadeout
WJ_end,,"""밥을 다 먹고, 소화 시킬 겸 카페에 갔다.""",,,,,,,,
WJ_end,,짐이 무거워서 산책은 무리였다.,,,,,,,,
WJ_end,,카페에 자리를 잡고 주문을 하러 키오스크로 향했다.,,,,,,,,
WJ_end,정우진,나 뭐 좋아하게.,,,,,,,,
WJ_end,여주,그걸 내가 어떻게 알아?,,,,,,,,
WJ_end,정우진,맞혀봐.,TRUE,"""아이스아메리카노였던 것 같다|WJEaa;루이보스티였던 것 같다|WJEl;자몽에이드였던 것 같다|WJEj;요거트 스무디였던 것 같다|WJEy;""",,,,,,
,,,,,,,,,,
WJEaa,여주,선배 맨날 아이스 아메리카노만 마시잖아.,,,,,,,WJ_endo,
WJEaa,정우진,…너 기억력 좋다.,,,,,,,,
WJEaa,여주,선배가 기억력이 이상한 거야.,,,,,,,,
WJEaa,정우진,너는 뭐 마실래?,,,,,,,,
WJEaa,여주,나는 아이스 라떼.,,,,,,,,
,,,,,,,,,,
WJEl,여주,루이보스 티?,,,,,,,WJ_endo,
WJEl,정우진,너는 앞으로 나한테 기억 못 한다고 뭐라 하지 마라.,,,,,,,,
WJEl,여주,아~ 미안해.,,,,,,,,
WJEl,정우진,나는 아이스 아메리카노 마실 거야. 너 뭐 마실래?,,,,,,,,
WJEl,여주,"""나는 라떼요, 아이스로…""",,,,,,,,
,,,,,,,,,,
WJEj,여주,자몽에이드?,,,,,,,WJ_endo,
WJEj,정우진,너는 앞으로 나한테 기억 못 한다고 뭐라 하지 마라.,,,,,,,,
WJEj,여주,아~ 미안해.,,,,,,,,
WJEj,정우진,나는 아이스 아메리카노 마실 거야. 너 뭐 마실래?,,,,,,,,
WJEj,여주,"""나는 라떼요, 아이스로…""",,,,,,,,
,,,,,,,,,,
WJEy,여주,요거트 스무디?,,,,,,,WJ_endo,
WJEy,정우진,너는 앞으로 나한테 기억 못 한다고 뭐라 하지 마라.,,,,,,,,
WJEy,여주,아~ 미안해.,,,,,,,,
WJEy,정우진,나는 아이스 아메리카노 마실 거야. 너 뭐 마실래?,,,,,,,,
