groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName,,(<-이 열은 건드리면 안됨. 이름 바뀌면 다죽습니다... 이 괄호랑 메모는 필요없으니 import 전 삭제)
2-1-Main,,,,,,,,,,Start2-1,,
2-1-Main,,바쁘게 적응하며 다니다 보니 어느새 개강총회 날이 다가왔다.,FALSE,,None,,,,,,,전체적인 시스템 설명(메모 확인)
2-1-Main,,"""개강 후 첫 단체 술자리...\n역시 술을 마셔야하나?""",TRUE,"""마신다!!!|2-1-Y|0|문이현|False;마신다|2-1-LS|0|강세하|False;마시지 않는다|2-1-E|0|이은성|False|0|gc_Eunsung""",None,,,,,,,추천 작성 순서(메모 확인)
2-1-Y,,"""생각보다...\n무리했다.""",FALSE,,None,,,,,,,임포트 전 확인해야 할 내용
2-1-Y,,"""처음엔 그냥 기분 좋게 마셨는데, 마지막에 동기가 건넨 '투명한 소맥'...\n진짜 함정이었다.""",FALSE,,None,,,,,,,
2-1-Y,,"""시야는 멀쩡한데, 머리는 빙빙 돌고,\n속은 살짝 울렁거리고...""",FALSE,,None,,,,,,,
2-1-Y,,"""아, 취했나?""",FALSE,,None,,,,,,,
2-1-Y,,언제부터 내 옆에 있었는지도 모르겠는 이현 선배가 조심스럽게 물었다.,FALSE,,None,,,,,,,
2-1-Y,문이현,[여주야] 괜찮아?,FALSE,,None,,,,,smile,,
2-1-Y,,선배의 목소리가 뭔가 평소보다 더 작고 조심스러웠다.,TRUE,"""취한 것 같다고 말한다|2-1-Y-1|5|문이현|False;괜찮다고 말한다|2-1-Y-2|-5|문이현|False""",None,,,,,,,
2-1-Y-1,여주,아뇨 저 취한 것 같아요 선배.,FALSE,,None,,,,,,,
2-1-Y-1,문이현,이 숙취해소제 일단 먹어.,FALSE,,None,,,,,smile,,
2-1-Y-1,,"""선배가 숙취해소제 하나를 건네주셨다.\n바로 먹을 수 있게 포장도 뜯은 상태였다.""",FALSE,,None,,,,,,,
2-1-Y-1,,저번부터 느낀 거지만 정말 섬세하고 다정한 사람 같다.,FALSE,,None,,,,,,,
2-1-Y-1,문이현,집 갈 수 있겠어?,FALSE,,None,,,,,smile,,
2-1-Y-1,여주,이제 집 가야 할 것 같은데 어떻게 나가야 할지 모르겠어요.,FALSE,,None,,,,,,,
2-1-Y-1,,내 앞에 앉은 과 동기들은 하이에나 마냥 내게 또 술 먹을 생각을 하고 있었다.,FALSE,,None,,,,,,,
2-1-Y-1,,"""그 순간, 선배가 일어나 내 가방과 겉옷을 챙겨주셨다.""",FALSE,,None,,,,,,,
2-1-Y-1,문이현,그럼 잠깐 바람 좀 쐬고 온다고 하고 나가. 내가 말해둘게.,FALSE,,None,,,,,smile,,
2-1-Y-1,,나는 조용히 자리에서 일어나 바람을 쐬고 온다며 밖으로 나왔다.,FALSE,,None,,,,,,,
2-1-Y-1,,다행히 이현 선배가 내 짐을 챙겨주신 덕에 아무도 내가 집으로 튄다고 의심하지 않았다.,FALSE,,None,,,,,,,
2-1-Y-1,,선배도 안에서 다른 선배님께 뭔가 말을 하시더니 따라 나오셨다.,FALSE,,None,,,,,,,
2-1-Y-1,문이현,혼자 집 갈 수 있겠어?힘들 것 같으면 근처까지 데려다줄게.,TRUE,"""혼자 갈 수 있다고 말한다|2-1-Y-1-1|-5|문이현|False;데려다 달라고 말한다|2-1-Y-1-2|5|문이현|False""",None,,,,,smile,,
2-1-Y-1-1,여주,네 집 혼자 갈 수 있어요! 챙겨주셔서 감사합니다.,FALSE,,None,,,,2-1-End,,,
2-1-Y-1-1,문이현,그래요. 집 조심히 가.,FALSE,,None,,,,,smile,,
2-1-Y-1-1,,선배는 챙겨주신 내 가방과 옷을 건네주신 후 살짝 시무룩한 표정으로 뒤를 돌아 걸어가셨다.,FALSE,,None,,,,,,,
2-1-Y-1-1,,챙겨주시려 한 건데 내가 너무 씩씩하게 말해버렸나?,FALSE,,None,,,,,,,
2-1-Y-1-1,,같이 집 가는게 싫었던 건 아닌데 오해하지 않으시면 좋겠다.,FALSE,,None,,,,,,,
2-1-Y-1-2,여주,정말요? 저도 더 얘기하고 싶었어요. 그럼 같이 가주세요.,FALSE,,None,,,,2-1-End,,,
2-1-Y-1-2,,걷는 동안 우리는 거의 말을 하지 않았다.,FALSE,,None,,,,,,,
2-1-Y-1-2,,"""내가 중간중간 쓸데없는 말은 했는데, 선배는 대부분 짧게 대답하거나 고개만 끄덕였다.""",FALSE,,None,,,,,,,
2-1-Y-1-2,,"""얼굴은 잘 안 보였는데, 옆에서 자꾸 귀까지 빨개지는 듯했다.""",FALSE,,None,,,,,,,
2-1-Y-1-2,여주,선배 왜 이렇게 긴장하셨어요?,FALSE,,None,,,,,,,
2-1-Y-1-2,문이현,아니야 바람이 차서...,FALSE,,None,,,,,smile,,
2-1-Y-1-2,,어이없어서 웃음이 나왔다.,FALSE,,None,,,,,,,
2-1-Y-1-2,,"""목소리도 작고, 고개도 잘 안 드는 걸 보면...\n챙겨주는 건 잘 하면서 이런 데서는 영 소심하다.""",FALSE,,None,,,,,,,
2-1-Y-1-2,,길 끝에서 오피스텔 단지가 보이자 선배가 걸음을 멈췄다.,FALSE,,None,,,,,,,
2-1-Y-1-2,문이현,여기까지 갈게. 조심해서 들어가.,FALSE,,None,,,,,smile,,
2-1-Y-1-2,여주,집 앞까지는 안 데려다 주셔요?,FALSE,,None,,,,,,,
2-1-Y-1-2,,"""그 순간, 이현 선배의 얼굴이 정말 확! 빨개졌다.""",FALSE,,None,,,,,,,
2-1-Y-1-2,문이현,"""...그게... \n혹시라도 불편할까 봐...""",FALSE,,None,,,,,smile,,
2-1-Y-1-2,,"""작게 중얼거린 뒤, 살짝 고개를 숙이고는 가방을 내게 건넸다.""",FALSE,,None,,,,,,,
2-1-Y-1-2,,그러고는 인사도 대충 손만 흔들고 돌아섰다.,FALSE,,None,,,,,,,
2-1-Y-1-2,,"""걸어가는 뒷모습, 귀까지 시뻘게진게 보이고...""",FALSE,,None,,,,,,,
2-1-Y-1-2,,"""이 남자, 조금 귀여운 것 같기도?""",FALSE,,None,,,,,,,
2-1-Y-2,여주,이 정도쯤이야! 저 주량 세요 선배님!,FALSE,,None,,,,2-1-End,,,
2-1-Y-2,문이현,다행이네. 취해보여서 물어봤어. 조절해서 잘 마셔요.,FALSE,,None,,,,,smile,,
2-1-Y-2,,선배가 보기엔 내가 취해 보였었나 보다. ,FALSE,,None,,,,,,,
2-1-Y-2,,선배는 내 잔에 물을 채워준 후 다른 후배를 챙기러 이동하셨다.,FALSE,,None,,,,,,,
2-1-Y-2,,조금 더 말해보고 싶었는데 아쉽다.,FALSE,,None,,,,,,,
2-1-LS,,"""오늘은 늦지않게 도착했다. 적당한 곳에 앉아야지.\n주은이는 없네...""",FALSE,,None,,,,,,,
2-1-LS,,하나둘씩 사람들이 도착하고 술집이 가득 채워졌다.,FALSE,,None,,,,,,,
2-1-LS,,그리고 내 양 옆자리에는 지난 오티 때 봤던 잘생긴 남자 둘이 앉았다.,FALSE,,None,,,,,,,
2-1-LS,앞자리 선배,[여주이] 자리 정말 럭키네. 양손에 꽃이잖아 아주.,FALSE,,None,,,,,,,
2-1-LS,,"""하하...\n뭔가 이쪽으로 향하는 시선이 부담스럽다...""",FALSE,,None,,,,,,,
2-1-LS,,앞자리 선배님은 아는게 굉장히 많으셨다. 선배라서 그런가?,FALSE,,None,,,,,,,
2-1-LS,앞자리 선배,학교 근처 탐방은 좀 해봤어? 여기 맛집도 많아.,FALSE,,None,,,,,,,
2-1-LS,여주,"""아니요, 아직 많이 못 가봤어요. 어디가 제일 맛있어요?""",FALSE,,None,,,,,,,
2-1-LS,앞자리 선배,역시 제일 유명한건 이 옆 밥집이려나? 우리 학교 학생이면 몰라선 안돼.,FALSE,,None,,,,,,,
2-1-LS,여주,와 진짜요?,FALSE,,None,,,,,,,
2-1-LS,,양 옆자리한테도 말을 걸어보자.,FALSE,,None,,,,,,,
2-1-LS,여주,둘은 저기 가봤어?,FALSE,,None,,,,,,,
2-1-LS,루카,아쉽게도 기회가 없었네요.,FALSE,,None,,,,,smile,,
2-1-LS,강세하,저번에 가봤는데 맛있더라.,FALSE,,None,,,,,smile,,
2-1-LS,앞자리 선배,맛있지! 안 가본 친구는 진짜 꼭 가보는거 추천해.,FALSE,,None,,,,,,,
2-1-LS,,슬슬 술과 안주가 놓였다.,FALSE,,None,,,,,,,
2-1-LS,앞자리 선배,[여주는] 안주 뭐 좋아해?,FALSE,,None,,,,,,,
2-1-LS,,당장에 끌리는건...,TRUE,"""감자튀김|2-1-S|7|강세하|False|0|Seha_Contact;회|2-1-L|0|루카|False""",None,,,,,,,
2-1-S,여주,음... 감자튀김?,FALSE,,None,,,,,,,
2-1-S,여주,"""닭똥집도 좋아하는데, 여기에 그런건 없나봐.""",FALSE,,None,,,,,,,
2-1-S,강세하,감자튀김이랑 닭똥집?,FALSE,,None,,,,,smile,,
2-1-S,여주,"""응, 왜?""",FALSE,,None,,,,,,,
2-1-S,강세하,나도 그 둘 제일 좋아하는데.,FALSE,,None,,,,,smile,,
2-1-S,여주,진짜? 감튀는 이해하는데 닭똥집까지 겹치는건 좀 희귀하다.,FALSE,,None,,,,,,,
2-1-S,강세하,그니까. 몰랐는데 이거 은근 호불호 많이 갈리더라.,FALSE,,None,,,,,smile,,
2-1-S,여주,난 식감 때문에 먹어. 쫄깃하고 짭짤한게 딱 술안주잖아.,FALSE,,None,,,,,,,
2-1-S,강세하,맞아. 우리 나중에 같이 닭똥집 먹으러 갈래? 아는 데 있는데 되게 맛있어.,TRUE,"""싫다고 말한다|2-1-S-1|0|강세하|False;좋다고 말한다|2-1-S-2|5|강세하|False""",None,,,,,smile,,
2-1-S-1,여주,싫은데?,FALSE,,None,,,,2-1-LS-1,,,
2-1-S-1,강세하,"""...와, 진심인줄 알고 서운할 뻔 했어 방금.""",FALSE,,None,,,,,smile,,
2-1-S-1,여주,뭘 서운하기까지 해. 다음에 시간 나면 같이 가자.,FALSE,,None,,,,,,,
2-1-S-1,,연락처를 확인해 보자!,FALSE,,None,,,,,SaveContact_Seha,,
2-1-S-2,여주,좋지.,FALSE,,None,,,,2-1-LS-1,,,
2-1-S-2,강세하,오... 이렇게 바로 오케이를?,FALSE,,None,,,,,smile,,
2-1-S-2,여주,닭똥집 좋아하는 사람 많이 없잖아? 이런 기회 흔치 않아. 거기 진짜 맛집인거 확실해?,FALSE,,None,,,,,,,
2-1-S-2,강세하,당연하지. 나 거기 단골이야.,FALSE,,None,,,,,smile,,
2-1-S-2,여주,오오... 기대할게. 다음에 시간 나면 같이 가자.,FALSE,,None,,,,,,,
2-1-S-2,,연락처를 확인해 보자!,FALSE,,None,,,,,SaveContact_Seha,,
2-1-L,여주,회... 생선회 같은거. 여기는 안 팔지만.,FALSE,,None,,,,,,,
2-1-L,,옆에 앉은 루카가 미소 짓는 게 보였다.,FALSE,,None,,,,,,,
2-1-L,여주,회 좋아해?,FALSE,,None,,,,,,,
2-1-L,루카,술안주로는 괜찮죠.,TRUE,"""회가 먹고 싶다고 말한다|2-1-L-1|0|루카|False;그럼 다른 건 별로냐고 물어본다|2-1-L-2|8|루카|False""",None,,,,,smile,,
2-1-L-1,여주,"""그치! 헐, 우리 엠티 바다로 못 가나? 가서 회 먹으면 좋겠다...""",FALSE,,None,,,,2-1-LS-1,,,
2-1-L-1,루카,학생회한테 이야기 해 보세요. 장소는 아직 안 정해지지 않았을까요?,FALSE,,None,,,,,smile,,
2-1-L-1,여주,와 그럴까? 아니 근데 엠티 진짜 기대되지 않아? 갈 거야?,FALSE,,None,,,,,,,
2-1-L-1,루카,가야죠. 처음인데.,FALSE,,None,,,,,smile,,
2-1-L-1,여주,그치!! 대학 생활의 꽃이라고 하잖아.,FALSE,,None,,,,,,,
2-1-L-1,루카,기대되네요.,FALSE,,None,,,,,smile,,
2-1-L-2,여주,그럼 다른 거로는 별로야?,FALSE,,None,,,,2-1-LS-1,,,
2-1-L-2,루카,네?,FALSE,,None,,,,,smile,,
2-1-L-2,여주,술안주로는 괜찮다면서.,FALSE,,None,,,,,,,
2-1-L-2,루카,...피곤하게 사시네요.,FALSE,,None,,,,,smile,,
2-1-L-2,여주,내가? 아니면 네가?,FALSE,,None,,,,,,,
2-1-L-2,,루카가 한숨을 내쉬었다.,FALSE,,None,,,,,,,
2-1-L-2,,뭔가 하고 싶은 말이 있어 보였는데?,FALSE,,None,,,,,,,
2-1-L-2,,표정이 안 좋아 보이니까 더 말 걸진 말자...,FALSE,,None,,,,,,,
2-1-LS-1,,"""시간도 늦어졌고, 슬슬 정리하는 분위기다.""",FALSE,,None,,,,2-1-End,,,
2-1-LS-1,,옆자리 두 명과 같이 밖으로 나왔다.,FALSE,,None,,,,,,,
2-1-LS-1,여주,그럼 둘 다 잘 들어가!,FALSE,,None,,,,,,,
2-1-LS-1,강세하,[여주도].,FALSE,,None,,,,,smile,,
2-1-LS-1,루카,조심히 들어가세요.,FALSE,,None,,,,,smile,,
2-1-E,,"""술판을 벌이고 있는 동기들과 선배들 사이...\n나는 안주만 먹고 있다.""",FALSE,,None,,,,,,,
2-1-E,,내일까지인 과제를 아직 안 끝내서 맨정신으로 집에 가야 하기 때문에.,FALSE,,None,,,,,,,
2-1-E,,내가 왜 미뤘지...,FALSE,,None,,,,,,,
2-1-E,,"""술주정꾼들 사이에서 사이다로 연명하고 있는 와중,\n다른 테이블에서 온 동기들 사이에 서 있는 은성과 눈이 마주친다.""",FALSE,,None,,,,,,,
2-1-E,이은성,어? [여주야]... 너도 여기 있었어?,FALSE,,None,,,,,smile,,
2-1-E,,"""술에 취했는지 얼굴이 새빨갛다.\n발음도 조금 꼬이는 것 같고...""",FALSE,,None,,,,,,,
2-1-E,,내 옆자리를 가리키며 나를 빤히 쳐다본다.,FALSE,,None,,,,,,,
2-1-E,이은성,나 여기 앉아도 돼?,TRUE,"""집에 가라고 한다|2-1-E-1|-2|이은성|False;앉으라고 한다|2-1-E-2|3|이은성|False""",None,,,,,smile,,
2-1-E-1,,조금 부담스러운데...,FALSE,,None,,,,2-1-E-3,,,
2-1-E-1,여주,너 너무 취한 거 아니야? 여기 앉는 게 아니라 집에 가야 할 것 같은데.,FALSE,,None,,,,,,,
2-1-E-1,이은성,나 걱정해 주는 거야?,FALSE,,None,,,,,smile,,
2-1-E-1,이은성,안 해도 돼! 나 괜찮아!,FALSE,,None,,,,,smile,,
2-1-E-1,,은성이 해맑게 웃어보였다.,FALSE,,None,,,,,,,
2-1-E-1,,...전혀 안 괜찮아 보인다.,FALSE,,None,,,,,,,
2-1-E-1,이은성,그것보다 나 [여주이] 너랑 친해지고 싶은데...,FALSE,,None,,,,,smile,,
2-1-E-1,이은성,여기 앉으면 안 돼?,FALSE,,None,,,,,smile,,
2-1-E-1,,간절한 눈빛으로 나를 내려다본다.,FALSE,,None,,,,,,,
2-1-E-1,,어떡하지...,FALSE,,None,,,,,,,
2-1-E-1,,고민하고 있는 사이 동기 한 명이 은성을 붙잡는다.,FALSE,,None,,,,,,,
2-1-E-2,여주,"""어, 응. 앉아도 돼.""",FALSE,,None,,,,2-1-E-3,,,
2-1-E-2,,옆에 놔뒀던 옷을 치워줬다.,FALSE,,None,,,,,,,
2-1-E-2,,은성이 옆자리에 풀썩 앉았다.,FALSE,,None,,,,,,,
2-1-E-2,이은성,[여주이] 너 왜 이렇게 바빠...,FALSE,,None,,,,,smile,,
2-1-E-2,이은성,교양 수업에서도 많이 말 못 하고.,FALSE,,None,,,,,smile,,
2-1-E-2,여주,"""그, 그런가..?""",FALSE,,None,,,,,,,
2-1-E-2,이은성,웅...,FALSE,,None,,,,,smile,,
2-1-E-2,,은성은 점점 조용해지더니 내 어깨에 기댔다.,FALSE,,None,,,,,,,
2-1-E-2,,잠들었나?,FALSE,,None,,,,,,,
2-1-E-2,,그러다 동기 한 명이 은성을 일으켜 세운다.,FALSE,,None,,,,,,,
2-1-E-3,동기1,은성이 너무 취했는데? [여주이] 힘들겠다. 은성이 집 아는 사람? 데려다주자.,FALSE,,None,,,,2-1-End,,,
2-1-E-3,동기2,"""나 알아. 가는 길에 데려다줘야겠다. 야 이은성, 좀 걸어 봐.""",FALSE,,None,,,,,,,
2-1-E-3,,은성은 동기의 손에 들려 나가며 힘없이 나를 쳐다본다.,FALSE,,None,,,,,,,
2-1-E-3,이은성,안녕...,FALSE,,None,,,,,smile,,
2-1-E-3,여주,응... 안녕.,FALSE,,None,,,,,,,
2-1-E-3,,같은 테이블에 앉아 있던 주은이 이상한 눈빛으로 바라본다.,FALSE,,None,,,,,,,
2-1-E-3,강주은,너 쟤랑 무슨 사이야?,FALSE,,None,,,,,smile,,
2-1-E-3,여주,어...,FALSE,,None,,,,,smile,,
2-1-E-3,여주,진짜 아무 사이 아니야.,FALSE,,None,,,,,smile,,
2-1-E-3,여주,그냥 친구?,FALSE,,None,,,,,smile,,
2-1-End,,"""집에서 오늘의 일들을 회상했다.""",FALSE,,None,,,,2-2-Main,,,
2-1-End,,조금 더 알아가는 기회가 된 것 같다.,FALSE,,None,,,,,,,
2-2-Main,,,,,,,,,,Start2-2,,
2-2-Main,,과제가 너무 많다.,FALSE,,None,,,,,,,
2-2-Main,,"""마감 기한도 전부 제각각이라, 사소한 거 하나하나 신경 써야 했다.""",FALSE,,None,,,,,,,
2-2-Main,,대부분 교수님들은 점수를 잘 주신다는 게 그나마 위로가 되긴 하지만...,FALSE,,None,,,,,,,
2-2-Main,,"""그 중 하나, 저번에 제출한 과제의 점수가 오늘 떴다.\n한 번 확인해 봐야지.""",FALSE,,None,,,,,,,
2-2-Main,,엥?,FALSE,,None,,,,,,,
2-2-Main,,"""[여주이름] 2/20""",FALSE,,None,,,,,,,
2-2-Main,,"""채점자: 정우진? 조교님? 아니 뭔데?""",FALSE,,None,,,,,,,
2-2-Main,,전공 과제 점수가 이상하다.,FALSE,,None,,,,,,,
2-2-Main,,"""과제 비중이 큰 과목이라 나름 신경 써서 했는데, 점수를 절반도 못 받았다고?""",FALSE,,None,,,,,,,
2-2-Main,,설마 내가 뭔가 잘못 제출했나???,FALSE,,None,,,,,,,
2-2-Main,,급히 주은이에게 연락을 했다.,FALSE,,None,,,,,,,
2-2-Main,,...,FALSE,,None,,,,,,,
2-2-Main,,주은이는 이상 없다고 답장했다. 자긴 점수 잘 나왔다고.,FALSE,,None,,,,,,,
2-2-Main,,내 점수에 뭔가 오류가 있는 것 같다고 하니까 교수님께 메일을 보내보라고 조언해줬다.,FALSE,,None,,,,,,,
2-2-Main,,아... 2점은 진짜 아니지.,FALSE,,None,,,,,,,
2-2-Main,,기분이 조금 상한 채로 메일을 보냈다.,FALSE,,None,,,,,,,
2-2-Main,,얼마 지나지 않아 교수님에게서 답장이 왔다.,FALSE,,None,,,,,,,
2-2-Main,교수님,"""[여주이름] 학생, 과제 점수 관련해서 질문이 있으면 내일 오후 2시에 oo관 oo호로 오세요.""",FALSE,,None,,,,,,,
2-2-Main,,"""...굳이 대면으로?\n그냥 메일로 말 해주시면 안 되나?""",FALSE,,None,,,,,,,
2-2-Main,,그래도 점수 관련된 일이니 안 갈 수는 없겠지...,FALSE,,None,,,,,,,
2-2-Main,,한숨이 나왔다.,FALSE,,None,,,,,,,
2-2-Main,,다음 날,FALSE,,None,,,,,,,
2-2-Main,,"""교수님과 1:1로 대면하는 건 처음이라 긴장이 됐다.""",FALSE,,None,,,,,,,
2-2-Main,,"""심장이 두근거리지만, 물어볼 건 물어봐야 하니까.""",FALSE,,None,,,,,,,
2-2-Main,,"""문 앞에서 잠시 숨을 고르고, 노크를 했다.""",FALSE,,None,,,,,,,
2-2-Main,???,들어오세요.,FALSE,,None,,,,,,,
2-2-Main,,"""문을 열고 들어가자, 예상과는 전혀 다른 사람이 앉아 있었다.""",FALSE,,None,,,,,,,
2-2-Main,,"""교수님이라고 하기엔 너무 젊고, 피곤해 보이는 얼굴.""",FALSE,,None,,,,,,,
2-2-Main,,어? 도서관에서 봤었던 그 남자다.,FALSE,,None,,,,,,,
2-2-Main,,"""정우진 조교님... 맞으시죠?""",FALSE,,None,,,,,,,
2-2-Main,정우진,네. 김xx교수님 과제 관련해서 오신 거죠? 저한테 물어보면 돼요.,FALSE,,None,,,,,smile,,
2-2-Main,,"""말투는 깔끔했고, 말수도 적었다.""",FALSE,,None,,,,,,,
2-2-Main,,"""예의는 지키지만 어딘가 사무적인 느낌.""",FALSE,,None,,,,,,,
2-2-Main,,"""역시... 피곤한가 보다. 이게 조교인건가.""",FALSE,,None,,,,,,,
2-2-Main,,"""그래도 난 학생인데,\n질문하는 입장에서는 조금만 더 부드럽게 대해줬으면 좋겠다.""",FALSE,,None,,,,,,,
2-2-Main,,뭔가 무서워...,FALSE,,None,,,,,,,
2-2-Main,,"""괜히 혼날까봐 겁도 났다. 죄송해요, 조교님...""",FALSE,,None,,,,,,,
2-2-Main,여주,"""저, 과제 점수 깎인 이유를 잘 모르겠어서요... 혹시 한 번만 확인해 주실 수 있으실까요?""",FALSE,,None,,,,,,,
2-2-Main,정우진,잠시만요. 학번이랑 이름 말씀해 주세요.,FALSE,,None,,,,,smile,,
2-2-Main,여주,20xx777 [여주이름]입니다.,FALSE,,None,,,,,,,
2-2-Main,,조용한 방에 클릭 소리만 울렸다.,FALSE,,None,,,,,,,
2-2-Main,정우진,"""...여기 보면, 제출된 파일 두 개가 0바이트로 올라와 있어요. 빈 파일 상태네요.""",FALSE,,None,,,,,smile,,
2-2-Main,,그는 조용히 자신의 모니터를 돌려 화면을 보여주었다.,FALSE,,None,,,,,,,
2-2-Main,,"""빈 파일.\n0Byte.""",FALSE,,None,,,,,,,
2-2-Main,,"""확실히, 제출된 파일이 비어 있었다.""",FALSE,,None,,,,,,,
2-2-Main,,...표정관리가 잘 안 됐다.,FALSE,,None,,,,,,,
2-2-Main,,"""실수는 내가 한 거지만, 실망스럽고 속상한 감정이 올라왔다.""",FALSE,,None,,,,,,,
2-2-Main,,조교님이 나를 힐끔 보았다.,FALSE,,None,,,,,,,
2-2-Main,정우진,그래도 과제 여러번 나가니까... 이런 실수 한 번으로 갈리진 않을 거예요.,FALSE,,None,,,,,smile,,
2-2-Main,정우진,시험이나 다른 과제 잘 하면 충분히 복구 가능하니까.,FALSE,,None,,,,,smile,,
2-2-Main,,저 사람도 사람이긴 하구나.,FALSE,,None,,,,,,,
