groupId,speaker,line,hasChoices,choices,conditionType,conditionKey,conditionTargetCharacter,conditionValue,nextOnCompletion,eventName
Ep3-2,,강의가 끝나고 주은이랑 함께 학교를 나왔다.,,,,,,,,
Ep3-2,강주은,아~ 피곤하다.,,,,,,,,
Ep3-2,여주,그니까… 오늘따라 더 늦게 끝내주신 것 같아.,,,,,,,,
Ep3-2,강주은,난 빨리 집 가서 자야겠다.,,,,,,,,
Ep3-2,,정문을 지나는데 저기서 뭔가 익숙한 실루엣이 보였다. 이현 선배다.,TRUE,"""먼저 말을 건다|YH_hi|5|문이현;말을 걸지 않고 쳐다만 본다|YH_nohi;""",,,,,,
YH_hi,여주,이현 선배 안녕하세요!,,,,,,,Ep3-2-1,
YH_hi,문이현,"어? [여주]. 주은 친구도 있네, 안녕.",,,,,,,,
YH_hi,,선배는 내가 말을 걸자 반가운 눈치로 내게 인사하고는 주은이와도 인사했다.,,,,,,,,
,,,,,,,,,,
YH_nohi,문이현,어? 안녕~.,,,,,,,Ep3-2-1,
YH_nohi,,오늘도 공부하러 가는 건지 가방이 무거워 보였다.,,,,,,,,
,,,,,,,,,,
Ep3-2,문이현,"지금 우진… 선배랑 같이 밥 먹기로 했는데, 같이 갈래요?",,,,,,,,
Ep3-2,강주은,아~~ 저는 졸려서 집 갈래요.,,,,,,,,
Ep3-2,여주,우진 선배면… 그 조교님이요?,,,,,,,,
Ep3-2,,조교님이랑 선배랑 셋이서 밥을 먹는다고..? 너무 뻘쭘하잖아!,TRUE,"""간다|YH_go;안 간다|YH_nogo;""",,,,,,
,,,,,,,,,,
YH_go,여주,"""네, 같이 가요.""",,,,,,,Ep3-2-1,
YH_go,문이현,주은 후배 잘 가요.,,,,,,,,
YH_go,강주은,"""네, 내일 봬요. [여주] 빠이~""",,,,,,,,
YH_go,,…,,,,,,,,
YH_go,여주,근데 저는 왜 데려가는 거예요?,,,,,,,,
YH_go,여주,남의 밥 약속에 이렇게 껴도 돼요?,,,,,,,,
YH_go,문이현,우진이 형 좋은 사람이니까…?,TRUE,"""이현을 칭찬한다|YH_one|5|문이현;우진을 칭찬한다|YH_two|5|정우진;""",,,,,,
,,,,,,,,,,
YH_one,여주,제 생각에는 이현 선배가 더 좋은 사람 같은데요…,,,,,,,Ep3-2-1,
YH_one,여주,조교님 친절한 것 같긴 한데 그래도 무섭다고요.,,,,,,,,
YH_one,문이현,제가요?,,,,,,,,shy
YH_one,,선배님이 쑥스럽게 웃으셨다.,,,,,,,,
YH_one,문이현,"그럼, 나중에는 둘이 밥 먹어요… 어때요?",,,,,,,,
YH_one,여주,저는 너무 좋죠.,,,,,,,,
YH_one,,어쩌다 보니 다음 밥약이 잡혀버렸다.,,,,,,,,
,,,,,,,,,,
YH_two,여주,우진 조교님 좋으신 분이죠!,,,,,,,Ep3-2-1,
YH_two,여주,되게 꼼꼼하게 챙겨주셔서 고맙더라고요.,,,,,,,,
YH_two,문이현,맞아요. 똑똑한 형이고 저도 도움 많이 받고 있어요.,,,,,,,,
YH_two,,조교님 역시 똑똑하신 분이었구나. 멋지다.,,,,,,,,
,,,,,,,,,,
YH_nogo,여주,"""아, 저는 빠질게요…""",,,,,,,Ep3-2-1,
YH_nogo,문이현,"왜, 좀 불편한가?",,,,,,,,
YH_nogo,여주,너무 어색할 것 같아서요.,,,,,,,,
YH_nogo,문이현,"""음, 괜찮아요. 우진이 형이 그렇게 딱딱한 사람이었으면 안 데려갔죠.""",,,,,,,,
YH_nogo,여주,오… 진짜요?,,,,,,,,
YH_nogo,문이현,잘하면 시험 팁도 알려줄 수도?,,,,,,,,
YH_nogo,,시험 팁? 이래도 되는 건가? 머리와는 다르게 눈이 반짝였다.,,,,,,,,
YH_nogo,여주,…그럼 갑시다.,,,,,,,,
YH_nogo,문이현,"""뭐야, 이런 거에 넘어가는 거예요?""",,,,,,,,
YH_nogo,여주,"""아, 몰라요! 그냥 가요.""",,,,,,,,
YH_nogo,문이현,,,,,,,,,laugh
YH_nogo,,가는 길에 선배가 자꾸 웃는다.,,,,,,,,
YH_nogo,여주,…왜 그렇게 계속 웃어요?!,,,,,,,,
YH_nogo,문이현,"""아니, 너무 잘 넘어가는 거 아니에요?""",,,,,,,,
YH_nogo,문이현,우진이 형이 그럴 사람 같아 보이진 않는데?,,,,,,,,
YH_nogo,여주,그래도 혹시 모르잖아요. 작은 거라도…,,,,,,,,
YH_nogo,문이현,열심이네요…,,,,,,,,smile
,,,,,,,,,,
Ep3-2-1,,선배랑 같이 식당에 도착했다.,,,,,,,,
Ep3-2-1,,학교 근처에 있는 한식집인데 학생들 사이에서 평가가 좋았다.,,,,,,,,
Ep3-2-1,여주,근데 조교님이 아직 안 오셨는데 먼저 시켜도 돼요?,,,,,,,,
Ep3-2-1,문이현,"""우진이 형 뭐, 엄청 단 거나 엄청 느끼한 거 아니면 다 잘 먹어서 괜찮아요.""",,,,,,,,
Ep3-2-1,문이현,"""아, 가지도 별로 안 좋아하긴 해요.""",,,,,,,,
Ep3-2-1,,보통 남의 식성을 이렇게 잘 알고 있나? ,,,,,,,,
Ep3-2-1,,"""저번부터 느꼈지만, 참 친절하단 말이야.""",,,,,,,,
Ep3-2-1,문이현,주문이요!,,,,,,,,
Ep3-2-1,,,,,,,,,,Fadeout
Ep3-2-1,,"""조금 뒤, 조교님이 들어왔다. 으아아…""",,,,,,,,
Ep3-2-1,정우진,뭐 시켰어?,,,,,,,,
Ep3-2-1,문이현,그냥 생선구이 정식 3개.,,,,,,,,
Ep3-2-1,,"""…숨 막힌다. 이현 선배, 저랑도 이야기해요…""",,,,,,,,
Ep3-2-1,정우진,"""좋네. 아, 말 편하게 해요. 그냥 선배라도 불러도 돼.""",,,,,,,,
Ep3-2-1,여주,근데 혹시 나이가…?,,,,,,,,
Ep3-2-1,정우진,…몇 살 같은데?,,,,,,,,
Ep3-2-1,문이현,,TRUE,"""이현보다 많다|threeup|2|정우진;이현이랑 비슷하다|oneup|5|정우진;""",,,,,,laugh
,,,,,,,,,,
threeup,여주,이현 선배보다 3살 위…?,,,,,,,Ep3-2-2,
threeup,정우진,"""그래, 나 사실 40살이야.""",,,,,,,,
threeup,여주,네?,,,,,,,,
threeup,문이현,"""형, 어디까지 가는 거예요.""",,,,,,,,laugh
threeup,,선배가 계속 웃는다. 확실히 친한 사람이랑 있어서 그런지 평소보다 더 밝고 명랑한 분위기다.,,,,,,,,
threeup,정우진,거짓말이고… 이현이보다 한 살 많아. [여주는]?,,,,,,,,
threeup,여주,아 저는…,,,,,,,,
threeup,여주,"""아니, 나는 21살!""",,,,,,,,
threeup,정우진,어리네…,,,,,,,,
threeup,문이현,"""형, 누가 보면 진짜 40살인 줄 알겠어요.""",,,,,,,,
,,,,,,,,,,
oneup,여주,이현 선배보다 한 살 많으신 거 아니에요…?,,,,,,,Ep3-2-2,
oneup,정우진,…진짜?,,,,,,,,
oneup,,표정이 미묘하다.,,,,,,,,
oneup,문이현,한 번에 맞힌 사람 처음 봐요. 눈썰미 좋은데요?,,,,,,,,laugh
oneup,,이현 선배가 계속 웃는다. 확실히 친한 사람이랑 있어서 그런지 분위기가 밝다.,,,,,,,,
,,,,,,,,,,
Ep3-2-2,여주,근데 둘은 어떻게 친해요?,,,,,,,,
Ep3-2-2,문이현,내가 같이 공부할 사람 찾다가…,,,,,,,,
Ep3-2-2,정우진,같이 공부했지. 이현이 열정적이고 공부도 잘하잖아.,,,,,,,,
Ep3-2-2,정우진,너도 막 물어봐. 나한테만 묻지 말고.,TRUE,"""적당히 반응한다|ohoh;둘을 칭찬한다|good;""",,,,,,
,,,,,,,,,,
